Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Canada,Both sexes,'65-79',2014,423,16710,3949180
Canada,Both sexes,'80+',2014,430,6410,1491130
Canada,Both sexes,'1+',2015,466,153990,33011130
Canada,Both sexes,'1-19',2015,971,65430,6735990
Canada,Both sexes,'20-34',2015,286,18750,6549590
Canada,Both sexes,'35-49',2015,326,22450,6890290
Canada,Both sexes,'50-64',2015,337,24310,7222050
Canada,Both sexes,'65-79',2015,410,16790,4099950
Canada,Both sexes,'80+',2015,412,6240,1513260
Canada,Both sexes,'1+',2016,450,150210,33377130
Canada,Both sexes,'1-19',2016,935,63700,6811640
Canada,Both sexes,'20-34',2016,274,17940,6557550
Canada,Both sexes,'35-49',2016,307,21300,6932140
Canada,Both sexes,'50-64',2016,328,23850,7265280
Canada,Both sexes,'65-79',2016,404,17230,4259720
Canada,Both sexes,'80+',2016,399,6190,1550810
Canada,Both sexes,'1+',2017,438,147530,33668750
Canada,Both sexes,'1-19',2017,906,62240,6867860
Canada,Both sexes,'20-34',2017,266,17420,6548750
Canada,Both sexes,'35-49',2017,300,20940,6974580
Canada,Both sexes,'50-64',2017,320,23270,7269120
Canada,Both sexes,'65-79',2017,393,17380,4420980
Canada,Both sexes,'80+',2017,396,6280,1587450
Canada,Females,'1+',2000,977,143260,14657170
Canada,Females,'1-19',2000,1447,49550,3425330
Canada,Females,'20-34',2000,821,24700,3007980
Canada,Females,'35-49',2000,791,29110,3680280
Canada,Females,'50-64',2000,867,20600,2377080
Canada,Females,'65-79',2000,928,14210,1531060
Canada,Females,'80+',2000,798,5070,635420
Canada,Females,'1+',2001,880,129450,14703410
Canada,Females,'1-19',2001,1338,45290,3385960
Canada,Females,'20-34',2001,727,21790,2996310
Canada,Females,'35-49',2001,714,26310,3684700
Canada,Females,'50-64',2001,752,18440,2450780
Canada,Females,'65-79',2001,830,12670,1525700
Canada,Females,'80+',2001,752,4960,659970
Canada,Females,'1+',2002,803,118580,14762840
Canada,Females,'1-19',2002,1269,42520,3351450
Canada,Females,'20-34',2002,667,19950,2993050
Canada,Females,'35-49',2002,643,23660,3677830
Canada,Females,'50-64',2002,676,17110,2532300
Canada,Females,'65-79',2002,726,11080,1525880
Canada,Females,'80+',2002,626,4270,682340
Canada,Females,'1+',2003,771,114390,14830180
Canada,Females,'1-19',2003,1227,40690,3316600
Canada,Females,'20-34',2003,641,19190,2995810
Canada,Females,'35-49',2003,628,23010,3663500
Canada,Females,'50-64',2003,633,16570,2619120
Canada,Females,'65-79',2003,695,10640,1530840
Canada,Females,'80+',2003,609,4290,704320
Canada,Females,'1+',2004,736,109750,14902790
Canada,Females,'1-19',2004,1198,39400,3288280
Canada,Females,'20-34',2004,593,17760,2996380
Canada,Females,'35-49',2004,594,21670,3646010
Canada,Females,'50-64',2004,596,16170,2710850
Canada,Females,'65-79',2004,660,10140,1536100
Canada,Females,'80+',2004,636,4610,725160
Canada,Females,'1+',2005,730,109590,15011440
Canada,Females,'1-19',2005,1247,40790,3272010
Canada,Females,'20-34',2005,587,17650,3004690
Canada,Females,'35-49',2005,576,20950,3639150
Canada,Females,'50-64',2005,581,16280,2802510
Canada,Females,'65-79',2005,625,9670,1547560
Canada,Females,'80+',2005,570,4250,745520
Canada,Females,'1+',2006,668,100410,15031170
Canada,Females,'1-19',2006,1136,36840,3244020
Canada,Females,'20-34',2006,540,16200,2999640
Canada,Females,'35-49',2006,545,19520,3581550
Canada,Females,'50-64',2006,527,15160,2876570
Canada,Females,'65-79',2006,574,8970,1563040
Canada,Females,'80+',2006,485,3720,766350
Canada,Females,'1+',2007,610,92080,15088720
Canada,Females,'1-19',2007,1011,32650,3230290
Canada,Females,'20-34',2007,491,14760,3008610
Canada,Females,'35-49',2007,500,17610,3523480
Canada,Females,'50-64',2007,503,14860,2954260
Canada,Females,'65-79',2007,540,8560,1585340
Canada,Females,'80+',2007,463,3640,786740
Canada,Females,'1+',2008,586,90560,15445900
Canada,Females,'1-19',2008,992,32540,3280040
Canada,Females,'20-34',2008,458,14130,3082100
Canada,Females,'35-49',2008,478,16940,3542820
Canada,Females,'50-64',2008,473,14630,3093350
Canada,Females,'65-79',2008,522,8540,1636520
Canada,Females,'80+',2008,465,3770,811050
Canada,Females,'1+',2009,588,91610,15581300
Canada,Females,'1-19',2009,999,32760,3278640
Canada,Females,'20-34',2009,465,14470,3109360
Canada,Females,'35-49',2009,490,17190,3510730
Canada,Females,'50-64',2009,472,15010,3182400
Canada,Females,'65-79',2009,510,8530,1671000
Canada,Females,'80+',2009,437,3620,829130
Canada,Females,'1+',2010,559,88120,15752690
Canada,Females,'1-19',2010,985,32350,3283970
Canada,Females,'20-34',2010,424,13340,3148910
Canada,Females,'35-49',2010,457,15910,3483430
Canada,Females,'50-64',2010,445,14590,3275860
Canada,Females,'65-79',2010,487,8340,1710810
Canada,Females,'80+',2010,423,3590,849700
Canada,Females,'1+',2011,524,83330,15916730
Canada,Females,'1-19',2011,926,30490,3291600
Canada,Females,'20-34',2011,386,12290,3184270
Canada,Females,'35-49',2011,423,14630,3458650
Canada,Females,'50-64',2011,412,13730,3335130
Canada,Females,'65-79',2011,479,8520,1780560
Canada,Females,'80+',2011,426,3690,866550
Canada,Females,'1+',2012,504,81060,16092600
Canada,Females,'1-19',2012,868,28680,3303870
Canada,Females,'20-34',2012,372,11980,3219910
Canada,Females,'35-49',2012,411,14110,3430590
Canada,Females,'50-64',2012,403,13700,3398350
Canada,Females,'65-79',2012,473,8780,1856490
Canada,Females,'80+',2012,432,3820,883400
Canada,Females,'1+',2013,500,81320,16255940
Canada,Females,'1-19',2013,834,27690,3321340
Canada,Females,'20-34',2013,372,12080,3243480
Canada,Females,'35-49',2013,419,14250,3403200
Canada,Females,'50-64',2013,413,14280,3459340
Canada,Females,'65-79',2013,473,9140,1932260
Canada,Females,'80+',2013,433,3880,896310
Canada,Females,'1+',2014,500,82020,16398390
Canada,Females,'1-19',2014,860,28760,3343190
Canada,Females,'20-34',2014,364,11850,3258790
Canada,Females,'35-49',2014,405,13710,3383840
Canada,Females,'50-64',2014,402,14090,3507760
Canada,Females,'65-79',2014,484,9710,2005530
Canada,Females,'80+',2014,434,3900,899290
Canada,Females,'1+',2015,486,80450,16539010
Canada,Females,'1-19',2015,838,28240,3369250
Canada,Females,'20-34',2015,353,11500,3262310
Canada,Females,'35-49',2015,391,13240,3383660
Canada,Females,'50-64',2015,396,14000,3538280
Canada,Females,'65-79',2015,461,9580,2078870
Canada,Females,'80+',2015,428,3880,906630
Canada,Females,'1+',2016,470,78630,16718080
Canada,Females,'1-19',2016,812,27660,3404550
Canada,Females,'20-34',2016,337,11010,3270180
Canada,Females,'35-49',2016,370,12610,3405800
Canada,Females,'50-64',2016,383,13620,3557530
Canada,Females,'65-79',2016,458,9880,2156900
Canada,Females,'80+',2016,416,3840,923110
Canada,Females,'1+',2017,456,76830,16860630
Canada,Females,'1-19',2017,780,26730,3428640
Canada,Females,'20-34',2017,325,10640,3270530
Canada,Females,'35-49',2017,361,12390,3427490
Canada,Females,'50-64',2017,370,13170,3558780
Canada,Females,'65-79',2017,447,9990,2236400
Canada,Females,'80+',2017,418,3920,938820
Canada,Males,'1+',2000,853,123110,14436680
Canada,Males,'1-19',2000,1815,63380,3491210
Canada,Males,'20-34',2000,516,16040,3106490
Canada,Males,'35-49',2000,480,18070,3767570
Canada,Males,'50-64',2000,512,12370,2417140
Canada,Males,'65-79',2000,781,10280,1316420
Canada,Males,'80+',2000,879,2970,337840
Canada,Males,'1+',2001,779,113050,14505450
Canada,Males,'1-19',2001,1722,59160,3436500
Canada,Males,'20-34',2001,460,14280,3102720
Canada,Males,'35-49',2001,424,16040,3784230
Canada,Males,'50-64',2001,456,11400,2501750
Canada,Males,'65-79',2001,706,9360,1326510
Canada,Males,'80+',2001,789,2790,353740
Canada,Males,'1+',2002,717,104550,14578060
Canada,Males,'1-19',2002,1633,55290,3386580
Canada,Males,'20-34',2002,423,13140,3103170
Canada,Males,'35-49',2002,390,14780,3786310
Canada,Males,'50-64',2002,414,10720,2591420
Canada,Males,'65-79',2002,604,8110,1341700
Canada,Males,'80+',2002,680,2510,368890
Canada,Males,'1+',2003,678,99400,14658690
Canada,Males,'1-19',2003,1565,52240,3338440
Canada,Males,'20-34',2003,396,12300,3107200
Canada,Males,'35-49',2003,371,14020,3783410
Canada,Males,'50-64',2003,389,10430,2683210
Canada,Males,'65-79',2003,578,7870,1361700
Canada,Males,'80+',2003,663,2550,384730
Canada,Males,'1+',2004,652,96050,14742030
Canada,Males,'1-19',2004,1527,50360,3298460
Canada,Males,'20-34',2004,373,11580,3104770
Canada,Males,'35-49',2004,360,13600,3773840
Canada,Males,'50-64',2004,369,10270,2783400
Canada,Males,'65-79',2004,555,7670,1380990
Canada,Males,'80+',2004,642,2570,400570
Canada,Males,'1+',2005,661,98130,14856120
Canada,Males,'1-19',2005,1635,53550,3274280
Canada,Males,'20-34',2005,355,11030,3103720
Canada,Males,'35-49',2005,352,13280,3771080
Canada,Males,'50-64',2005,367,10570,2883390
Canada,Males,'65-79',2005,515,7240,1405890
Canada,Males,'80+',2005,589,2460,417760
