Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,Alberta,Other Renewables and Landfill Gas,2020,161.0009,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2020,7.3514,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2020,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2020,296.8497,Primary Demand,Petajoules
Current Policies,Alberta,Total,2020,4338.1625,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2021,2636.1028,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2021,1363.6409,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2021,170.9427,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2021,7.3515,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2021,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2021,331.2936,Primary Demand,Petajoules
Current Policies,Alberta,Total,2021,4509.3315,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2022,2742.6398,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2022,1438.134,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2022,219.7456,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2022,7.3513,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2022,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2022,167.6235,Primary Demand,Petajoules
Current Policies,Alberta,Total,2022,4575.4942,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2023,3011.0211,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2023,1441.0752,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2023,227.5625,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2023,7.3513,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2023,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2023,12.5661,Primary Demand,Petajoules
Current Policies,Alberta,Total,2023,4699.5762,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2024,2998.2764,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2024,1444.5457,Primary Demand,Petajoules
Current Policies,Alberta,Other Renewables and Landfill Gas,2024,234.831,Primary Demand,Petajoules
Current Policies,Alberta,Hydro,2024,7.3512,Primary Demand,Petajoules
Current Policies,Alberta,Nuclear,2024,0,Primary Demand,Petajoules
Current Policies,Alberta,"Coal, Coke and Coke Oven Gas",2024,12.5793,Primary Demand,Petajoules
Current Policies,Alberta,Total,2024,4697.5836,Primary Demand,Petajoules
Current Policies,Alberta,Natural Gas,2025,2961.1085,Primary Demand,Petajoules
Current Policies,Alberta,RPP,2025,1435.4169,Primary Demand,Petajoules
